[2024-01-16 19:04:14] Proces: System Idle Process, Status: Services, PID: 0, CPU: 0, Pamiêæ: 8 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: System, Status: Services, PID: 4, CPU: 0, Pamiêæ: 12ÿ404 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: Registry, Status: Services, PID: 108, CPU: 0, Pamiêæ: 34ÿ632 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: smss.exe, Status: Services, PID: 416, CPU: 0, Pamiêæ: 328 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: csrss.exe, Status: Services, PID: 540, CPU: 0, Pamiêæ: 2ÿ468 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: wininit.exe, Status: Services, PID: 728, CPU: 0, Pamiêæ: 716 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: csrss.exe, Status: Console, PID: 736, CPU: 1, Pamiêæ: 3ÿ396 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: services.exe, Status: Services, PID: 836, CPU: 0, Pamiêæ: 6ÿ352 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: winlogon.exe, Status: Console, PID: 844, CPU: 1, Pamiêæ: 6ÿ384 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: lsass.exe, Status: Services, PID: 888, CPU: 0, Pamiêæ: 16ÿ032 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 68, CPU: 0, Pamiêæ: 20ÿ304 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: fontdrvhost.exe, Status: Console, PID: 436, CPU: 1, Pamiêæ: 9ÿ652 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: fontdrvhost.exe, Status: Services, PID: 512, CPU: 0, Pamiêæ: 424 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 644, CPU: 0, Pamiêæ: 14ÿ724 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 772, CPU: 0, Pamiêæ: 3ÿ960 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: dwm.exe, Status: Console, PID: 440, CPU: 1, Pamiêæ: 71ÿ656 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 1116, CPU: 0, Pamiêæ: 4ÿ528 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 1168, CPU: 0, Pamiêæ: 4ÿ612 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
